id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
o1pzIp49yzu3qmR5AfCt,viernes,"13:26:54,618","13:26:56,699","13:27:08,380","13:27:17,532",efectivo,
HGkM4bWI6hnnnpuWDYPz,viernes,"13:16:40,605","13:16:50,280","13:16:59,991","13:17:23,559",efectivo,
w8ri1AlcTa3jmgMBNxqe,viernes,"14:55:50,438","14:56:01,781","14:56:34,875","14:57:40,297",efectivo,
Tz4dyCJaAKmtrHwgPIJ7,viernes,"13:35:23,584","13:36:40,562","13:36:55,170","13:37:33,919",efectivo,
7rKAfKzMmbd93GwIJzCo,viernes,"13:52:37,752","13:52:41,177","13:52:59,928","13:53:04,995",efectivo,
BbQGTUmTLqUjUzTpAICE,viernes,"12:50:42,376","12:50:45,626","12:50:49,587","12:52:01,412",efectivo,
ZFjpzmsMQQz2Jcupadb3,viernes,"13:46:44,422","13:47:10,853","13:47:27,482","13:47:34,215",efectivo,
G4pSDThgT7NDVLWIEbYq,viernes,"14:19:16,335","14:20:21,467","14:20:29,275","14:21:16,901",efectivo,
hVRpUfBNMjMppNXRZS0N,viernes,"14:29:45,551","14:30:37,983","14:31:05,479","14:32:07,137",Tarjeta,
01wzdNu6gF5IeJnZhkqf,viernes,"14:37:13,314","14:37:33,343","14:38:21,582","14:39:05,267",Tarjeta,
GQxpcXYX89wIReprYicZ,viernes,"14:05:16,395","14:05:23,884","14:05:29,313","14:05:37,547",efectivo,
Tucst2dNbtWouafaG5hu,viernes,"14:09:50,504","14:09:58,469","14:10:24,167","14:10:37,164",efectivo,
Zkj72yZa7j2cBUAKvu9s,viernes,"13:14:31,266","13:14:32,561","13:14:39,371","13:15:00,046",efectivo,
ZlCdzaMz23RPfC6NaSro,viernes,"13:51:04,081","13:51:29,714","13:51:48,901","13:51:55,294",efectivo,
wkPn0760V5OY3R6sA8Yc,viernes,"13:46:54,244","13:47:15,104","13:48:09,212","13:48:38,395",Tarjeta,
k1LdY2WxfcXn1SJJCcTW,viernes,"14:05:57,471","14:06:00,578","14:06:07,927","14:06:34,188",Tarjeta,
6O3QJR9z4l3VlNoadwZD,viernes,"14:12:11,054","14:12:24,252","14:13:36,263","14:14:25,257",efectivo,
Mbs7hBZJBAifos576mp3,viernes,"13:42:19,644","13:42:30,236","13:42:38,663","13:42:42,948",efectivo,
5kmVlSfsEYkxYgIZTWVK,viernes,"13:19:12,549","13:19:18,564","13:20:11,670","13:20:14,509",Tarjeta,
rCu0oENuR9SiZTvEey9u,viernes,"14:20:10,979","14:20:16,901","14:20:30,653","14:21:07,507",Tarjeta,
liljYDxOMrMPPAXTmsWf,viernes,"13:45:10,310","13:45:36,179","13:45:36,984","13:45:44,765",efectivo,
4NUG6ryKs4i5ZYhzWzHG,viernes,"13:29:36,707","13:29:55,864","13:30:05,381","13:30:35,709",efectivo,
xEgyZLqo6EyCXNjyNqhg,viernes,"13:41:13,679","13:42:28,371","13:42:30,332","13:42:33,537",efectivo,
YmawxkJi2dvnWeG1F8G4,viernes,"14:32:30,506","14:32:33,580","14:32:53,082","14:33:39,222",Tarjeta,
U8k9Nf3zwsSAmOscw7Xb,viernes,"14:08:36,813","14:08:38,245","14:08:58,723","14:09:20,951",Tarjeta,
82NS3PKiYYo0aLoETLkU,viernes,"14:56:19,431","14:58:28,557","14:58:53,292","14:59:36,324",efectivo,
EcKv1ihgP4Kf0C9g03dK,viernes,"14:46:36,412","14:47:00,506","14:47:22,467","14:47:27,439",efectivo,
Or6z63305LwmfsTxqqg4,viernes,"14:24:53,104","14:24:54,605","14:25:20,227","14:26:24,054",efectivo,
mjfAUd8Wqe8cknmGD128,viernes,"12:44:56,743","12:45:02,103","12:45:11,551","12:45:12,311",efectivo,
tnbLMUcOl74YghWqhWqd,viernes,"13:11:24,949","13:11:30,508","13:11:32,903","13:11:55,056",efectivo,
WSAkbCQDujzmxBlnzha6,viernes,"13:53:16,723","13:53:49,983","13:54:10,676","13:54:31,728",Tarjeta,
tyJtAQOgIdZCOoUmeU8y,viernes,"13:07:07,278","13:07:12,020","13:07:17,103","13:07:34,244",efectivo,
tZswbcqqeQFDfV6VBrqQ,viernes,"13:39:12,989","13:39:46,733","13:40:00,310","13:40:08,839",Tarjeta,
Wg29dwf6Dfdk8AhfNRE5,viernes,"14:10:59,414","14:11:35,583","14:11:39,484","14:11:58,575",Tarjeta,
uF0TR5vEscJuf9GfKmgh,viernes,"14:19:19,588","14:21:20,977","14:22:12,881","14:22:55,489",efectivo,
XGoTEeZZyESULYQtuHwr,viernes,"14:28:33,879","14:29:41,827","14:29:47,643","14:30:19,795",efectivo,
XQZsByIVB9nPwLviqjGL,viernes,"14:31:47,381","14:32:09,235","14:32:24,636","14:32:29,366",efectivo,
m2t7K5lPVvJ1na7U5evg,viernes,"13:33:33,713","13:34:06,452","13:34:20,422","13:34:26,630",efectivo,
XfNKTz1ZukcWWqesablR,viernes,"14:55:55,412","14:58:04,065","14:58:07,039","14:58:23,647",efectivo,
uuOaI2hTOTr3L0OBh6jW,viernes,"13:10:08,863","13:10:21,003","13:11:02,661","13:11:26,879",efectivo,La niña se puso a bailar y se tardaron mas
Xhc8SGTuZiDNzlUhuT90,viernes,"14:32:57,523","14:33:52,240","14:34:07,897","14:34:25,082",Tarjeta,
vKZ2RkSzEVw50K15ROiv,viernes,"14:39:21,643","14:43:29,183","14:43:59,196","14:44:05,923",efectivo,
8iGXugUkUUv5OQT7BDUt,viernes,"14:17:42,395","14:17:44,118","14:18:12,931","14:18:31,110",efectivo,
iOLDEjIz3kDIJqCZMmHW,viernes,"13:18:27,936","13:18:29,779","13:18:42,114","13:18:47,226",efectivo,
hyefUJYj9tXRIVeSc7dV,viernes,"13:31:27,205","13:31:54,597","13:32:03,978","13:33:12,853",efectivo,
8aaYK8vN0lHT5SnvGAB0,viernes,"14:51:06,160","14:52:18,041","14:52:50,737","14:53:06,953",Tarjeta,
NhXqC3HNyeuGECx4xE8E,viernes,"13:30:13,038","13:30:52,266","13:31:44,525","13:32:41,876",efectivo,
kfmVguF0sUsp4cwatLKK,viernes,"14:50:35,818","14:50:48,968","14:50:56,738","14:51:13,080",Tarjeta,
F847ERZyFrcAH17Etskd,viernes,"13:33:21,808","13:33:31,887","13:33:42,750","13:33:59,584",efectivo,
bQjyyxfMtToJgocETeY2,viernes,"13:28:48,998","13:29:09,354","13:29:29,553","13:29:33,035",efectivo,
e6jVzJFFvxYUR2qN08EW,viernes,"14:45:01,744","14:46:02,599","14:46:46,271","14:46:56,288",efectivo,
dMcF2yEX4mg9UnJJLm6y,viernes,"12:54:53,611","12:54:55,111","12:55:08,639","12:56:03,321",Tarjeta,
dMdoBMLSNjvrAGNzfUbl,viernes,"13:31:31,397","13:33:02,219","13:33:24,527","13:33:28,039",efectivo,
1nOIWeJKWLuWq5rrwfmF,viernes,"14:18:38,174","14:18:50,926","14:19:28,748","14:19:43,635",efectivo,
yWSlAXHD5LaGmLa0Odgm,viernes,"13:59:59,568","14:02:37,214","14:02:49,783","14:03:09,465",efectivo,
qH5qwOjxGOkzVYh07xUa,viernes,"13:46:37,814","13:46:39,262","13:47:00,132","13:47:03,983",Tarjeta,
ktLlEzezNKk8YDjA6G9o,viernes,"13:57:52,653","13:58:24,685","13:58:46,000","13:58:51,645",efectivo,
yemCS19FEb0IMel3Xumk,viernes,"14:37:45,137","14:39:12,177","14:39:37,903","14:39:55,237",Tarjeta,
SWVr6pPzUGAORaOdPSM2,viernes,"14:50:49,850","14:51:45,696","14:52:03,701","14:52:15,775",Tarjeta,
dxBvj6ZIxDhSszoGuU47,viernes,"14:20:07,228","14:23:22,458","14:23:37,054","14:23:49,077",efectivo,
dzgnKOgPk8tjXZgviIO1,viernes,"12:19:45,382","12:19:53,014","12:19:56,641","12:22:17,923",Tarjeta,
0yJTHotGOq1JW1pKixZX,viernes,"14:38:30,011","14:40:35,299","14:41:02,801","14:42:39,432",digital,
fonSgiFedD6WWb1b9xw2,viernes,"14:38:39,437","14:42:44,557","14:43:19,762","14:43:27,159",Tarjeta,
e6uLGTDSu1Nr2yfsd4l5,viernes,"12:38:26,864","12:38:30,629","12:38:45,484","12:39:13,291",efectivo,
e99y5QzZ3XuS886f7ded,viernes,"14:28:18,159","14:28:40,698","14:29:10,636","14:29:40,262",efectivo,
eGpG9msqcdn9ZEXoZNQA,viernes,"13:20:07,023","13:20:20,896","13:20:44,080","13:21:36,280",Tarjeta,
srb4kjjy524amBWjqBPd,viernes,"13:57:02,302","13:57:55,966","13:57:58,488","13:58:21,295",efectivo,La cajera estaba haciendo helados cuando llegaron
pwuS99GUG48wnbm2h3dN,viernes,"13:45:49,630","13:45:55,378","13:46:11,573","13:46:24,029",Tarjeta,
emSgHejNTTm9VfrMOQRQ,viernes,"13:14:11,994","13:14:18,930","13:14:25,285","13:14:28,437",efectivo,
DIEwUljKnpxbDRsj5Jkz,viernes,"14:36:33,185","14:36:56,831","14:37:27,637","14:37:28,849",efectivo,
zN5wijK6WcOLNIEhBvjX,viernes,"13:54:31,008","13:54:35,293","13:54:39,312","13:55:00,648",efectivo,
eo3djJyV5AJJXVAhASbM,viernes,"14:40:22,994","14:44:17,576","14:44:34,648","14:44:46,616",Tarjeta,
zlT71l0VMbyQeanjlDaB,viernes,"14:25:56,477","14:26:05,479","14:26:28,691","14:26:47,483",efectivo,
h7FfdqkWu8mD6TNYTitU,viernes,"13:51:57,036","13:52:09,081","13:52:43,409","13:52:50,985",efectivo,
pKRdWatAOIqDsuUDMYYF,viernes,"12:57:57,710","12:58:05,511","12:58:29,953","12:58:48,286",Tarjeta,
d7OEJmujXYdhub1ArNCN,viernes,"14:19:14,468","14:19:57,279","14:20:00,855","14:20:16,608",efectivo,
KptrXzDqHSp9ARYyij6C,viernes,"12:51:57,351","12:52:00,054","12:52:07,138","12:53:35,778",efectivo,
HLe8UIkqaB1fhw2uY6zc,viernes,"13:29:03,097","13:29:39,642","13:30:10,938","13:31:46,316",efectivo,Rechazo tarjeta
HcxLmSgFr1ADFuVGSuQd,viernes,"13:02:42,184","13:02:48,571","13:02:53,530","13:03:21,451",efectivo,
xlrCDQxCbUOGhridFzwv,viernes,"14:40:31,688","14:44:58,503","14:45:22,216","14:46:00,490",efectivo,
3N6Y15aExaYkcFm2Tp70,viernes,"14:33:53,339","14:34:27,595","14:34:56,034","14:35:12,942",efectivo,
E1lfQ0kXDaQMjs4XQRek,viernes,"13:41:01,087","13:42:04,118","13:42:05,381","13:42:19,840",efectivo,
Ql6s1OHNE8Z3N3wUYnzB,viernes,"13:55:35,137","13:55:51,995","13:56:10,388","13:56:14,537",efectivo,
3G4KmH6zM0TJh5PxbC3z,viernes,"13:16:13,445","13:16:42,526","13:16:43,040","13:16:46,217",efectivo,
fvg37S41uYpoZk1DikvO,viernes,"13:32:50,776","13:33:22,496","13:33:31,900","13:34:58,440",efectivo,La señora que se le daño la tarjeta interrumpio por que le cobraron doble
2UGKnSaYJGXm8tMujOEz,viernes,"12:53:06,740","12:53:13,432","12:53:21,663","12:54:26,916",efectivo,
CoalZzOtDPvh6WMnM8IJ,viernes,"14:04:39,712","14:05:03,504","14:05:04,203","14:05:11,055",efectivo,
casZ8rn0ykReXUQ4OGHb,viernes,"14:59:34,077","14:59:40,352","15:00:02,419","15:00:18,958",digital,
I9Q3RdSti853bfYu1fpe,viernes,"13:35:07,174","13:36:28,405","13:36:30,323","13:36:35,974",efectivo,La cajera se puso a hacer pedidos y no ateniend
