,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
512,o1pzIp49yzu3qmR5AfCt,viernes,13:26:54.618000,"13:26:56,699","13:27:08,380","13:27:17,532",efectivo,
186,HGkM4bWI6hnnnpuWDYPz,viernes,13:16:40.605000,"13:16:50,280","13:16:59,991","13:17:23,559",efectivo,
585,w8ri1AlcTa3jmgMBNxqe,viernes,14:55:50.438000,"14:56:01,781","14:56:34,875","14:57:40,297",efectivo,
314,Tz4dyCJaAKmtrHwgPIJ7,viernes,13:35:23.584000,"13:36:40,562","13:36:55,170","13:37:33,919",efectivo,
73,7rKAfKzMmbd93GwIJzCo,viernes,13:52:37.752000,"13:52:41,177","13:52:59,928","13:53:04,995",efectivo,
114,BbQGTUmTLqUjUzTpAICE,viernes,12:50:42.376000,"12:50:45,626","12:50:49,587","12:52:01,412",efectivo,
352,ZFjpzmsMQQz2Jcupadb3,viernes,13:46:44.422000,"13:47:10,853","13:47:27,482","13:47:34,215",efectivo,
172,G4pSDThgT7NDVLWIEbYq,viernes,14:19:16.335000,"14:20:21,467","14:20:29,275","14:21:16,901",efectivo,
454,hVRpUfBNMjMppNXRZS0N,viernes,14:29:45.551000,"14:30:37,983","14:31:05,479","14:32:07,137",Tarjeta,
1,01wzdNu6gF5IeJnZhkqf,viernes,14:37:13.314000,"14:37:33,343","14:38:21,582","14:39:05,267",Tarjeta,
174,GQxpcXYX89wIReprYicZ,viernes,14:05:16.395000,"14:05:23,884","14:05:29,313","14:05:37,547",efectivo,
312,Tucst2dNbtWouafaG5hu,viernes,14:09:50.504000,"14:09:58,469","14:10:24,167","14:10:37,164",efectivo,
359,Zkj72yZa7j2cBUAKvu9s,viernes,13:14:31.266000,"13:14:32,561","13:14:39,371","13:15:00,046",efectivo,
360,ZlCdzaMz23RPfC6NaSro,viernes,13:51:04.081000,"13:51:29,714","13:51:48,901","13:51:55,294",efectivo,
591,wkPn0760V5OY3R6sA8Yc,viernes,13:46:54.244000,"13:47:15,104","13:48:09,212","13:48:38,395",Tarjeta,
474,k1LdY2WxfcXn1SJJCcTW,viernes,14:05:57.471000,"14:06:00,578","14:06:07,927","14:06:34,188",Tarjeta,
60,6O3QJR9z4l3VlNoadwZD,viernes,14:12:11.054000,"14:12:24,252","14:13:36,263","14:14:25,257",efectivo,
238,Mbs7hBZJBAifos576mp3,viernes,13:42:19.644000,"13:42:30,236","13:42:38,663","13:42:42,948",efectivo,
57,5kmVlSfsEYkxYgIZTWVK,viernes,13:19:12.549000,"13:19:18,564","13:20:11,670","13:20:14,509",Tarjeta,
539,rCu0oENuR9SiZTvEey9u,viernes,14:20:10.979000,"14:20:16,901","14:20:30,653","14:21:07,507",Tarjeta,
492,liljYDxOMrMPPAXTmsWf,viernes,13:45:10.310000,"13:45:36,179","13:45:36,984","13:45:44,765",efectivo,
51,4NUG6ryKs4i5ZYhzWzHG,viernes,13:29:36.707000,"13:29:55,864","13:30:05,381","13:30:35,709",efectivo,
597,xEgyZLqo6EyCXNjyNqhg,viernes,13:41:13.679000,"13:42:28,371","13:42:30,332","13:42:33,537",efectivo,
348,YmawxkJi2dvnWeG1F8G4,viernes,14:32:30.506000,"14:32:33,580","14:32:53,082","14:33:39,222",Tarjeta,
316,U8k9Nf3zwsSAmOscw7Xb,viernes,14:08:36.813000,"14:08:38,245","14:08:58,723","14:09:20,951",Tarjeta,
78,82NS3PKiYYo0aLoETLkU,viernes,14:56:19.431000,"14:58:28,557","14:58:53,292","14:59:36,324",efectivo,
154,EcKv1ihgP4Kf0C9g03dK,viernes,14:46:36.412000,"14:47:00,506","14:47:22,467","14:47:27,439",efectivo,
259,Or6z63305LwmfsTxqqg4,viernes,14:24:53.104000,"14:24:54,605","14:25:20,227","14:26:24,054",efectivo,
503,mjfAUd8Wqe8cknmGD128,viernes,12:44:56.743000,"12:45:02,103","12:45:11,551","12:45:12,311",efectivo,
569,tnbLMUcOl74YghWqhWqd,viernes,13:11:24.949000,"13:11:30,508","13:11:32,903","13:11:55,056",efectivo,
329,WSAkbCQDujzmxBlnzha6,viernes,13:53:16.723000,"13:53:49,983","13:54:10,676","13:54:31,728",Tarjeta,
571,tyJtAQOgIdZCOoUmeU8y,viernes,13:07:07.278000,"13:07:12,020","13:07:17,103","13:07:34,244",efectivo,
566,tZswbcqqeQFDfV6VBrqQ,viernes,13:39:12.989000,"13:39:46,733","13:40:00,310","13:40:08,839",Tarjeta,
333,Wg29dwf6Dfdk8AhfNRE5,viernes,14:10:59.414000,"14:11:35,583","14:11:39,484","14:11:58,575",Tarjeta,
573,uF0TR5vEscJuf9GfKmgh,viernes,14:19:19.588000,"14:21:20,977","14:22:12,881","14:22:55,489",efectivo,
335,XGoTEeZZyESULYQtuHwr,viernes,14:28:33.879000,"14:29:41,827","14:29:47,643","14:30:19,795",efectivo,
337,XQZsByIVB9nPwLviqjGL,viernes,14:31:47.381000,"14:32:09,235","14:32:24,636","14:32:29,366",efectivo,
495,m2t7K5lPVvJ1na7U5evg,viernes,13:33:33.713000,"13:34:06,452","13:34:20,422","13:34:26,630",efectivo,
339,XfNKTz1ZukcWWqesablR,viernes,14:55:55.412000,"14:58:04,065","14:58:07,039","14:58:23,647",efectivo,
578,uuOaI2hTOTr3L0OBh6jW,viernes,13:10:08.863000,"13:10:21,003","13:11:02,661","13:11:26,879",efectivo,La niña se puso a bailar y se tardaron mas
340,Xhc8SGTuZiDNzlUhuT90,viernes,14:32:57.523000,"14:33:52,240","14:34:07,897","14:34:25,082",Tarjeta,
580,vKZ2RkSzEVw50K15ROiv,viernes,14:39:21.643000,"14:43:29,183","14:43:59,196","14:44:05,923",efectivo,
85,8iGXugUkUUv5OQT7BDUt,viernes,14:17:42.395000,"14:17:44,118","14:18:12,931","14:18:31,110",efectivo,
461,iOLDEjIz3kDIJqCZMmHW,viernes,13:18:27.936000,"13:18:29,779","13:18:42,114","13:18:47,226",efectivo,
460,hyefUJYj9tXRIVeSc7dV,viernes,13:31:27.205000,"13:31:54,597","13:32:03,978","13:33:12,853",efectivo,
81,8aaYK8vN0lHT5SnvGAB0,viernes,14:51:06.160000,"14:52:18,041","14:52:50,737","14:53:06,953",Tarjeta,
251,NhXqC3HNyeuGECx4xE8E,viernes,13:30:13.038000,"13:30:52,266","13:31:44,525","13:32:41,876",efectivo,
479,kfmVguF0sUsp4cwatLKK,viernes,14:50:35.818000,"14:50:48,968","14:50:56,738","14:51:13,080",Tarjeta,
157,F847ERZyFrcAH17Etskd,viernes,13:33:21.808000,"13:33:31,887","13:33:42,750","13:33:59,584",efectivo,
373,bQjyyxfMtToJgocETeY2,viernes,13:28:48.998000,"13:29:09,354","13:29:29,553","13:29:33,035",efectivo,
410,e6jVzJFFvxYUR2qN08EW,viernes,14:45:01.744000,"14:46:02,599","14:46:46,271","14:46:56,288",efectivo,
400,dMcF2yEX4mg9UnJJLm6y,viernes,12:54:53.611000,"12:54:55,111","12:55:08,639","12:56:03,321",Tarjeta,
401,dMdoBMLSNjvrAGNzfUbl,viernes,13:31:31.397000,"13:33:02,219","13:33:24,527","13:33:28,039",efectivo,
22,1nOIWeJKWLuWq5rrwfmF,viernes,14:18:38.174000,"14:18:50,926","14:19:28,748","14:19:43,635",efectivo,
612,yWSlAXHD5LaGmLa0Odgm,viernes,13:59:59.568000,"14:02:37,214","14:02:49,783","14:03:09,465",efectivo,
531,qH5qwOjxGOkzVYh07xUa,viernes,13:46:37.814000,"13:46:39,262","13:47:00,132","13:47:03,983",Tarjeta,
482,ktLlEzezNKk8YDjA6G9o,viernes,13:57:52.653000,"13:58:24,685","13:58:46,000","13:58:51,645",efectivo,
614,yemCS19FEb0IMel3Xumk,viernes,14:37:45.137000,"14:39:12,177","14:39:37,903","14:39:55,237",Tarjeta,
294,SWVr6pPzUGAORaOdPSM2,viernes,14:50:49.850000,"14:51:45,696","14:52:03,701","14:52:15,775",Tarjeta,
407,dxBvj6ZIxDhSszoGuU47,viernes,14:20:07.228000,"14:23:22,458","14:23:37,054","14:23:49,077",efectivo,
408,dzgnKOgPk8tjXZgviIO1,viernes,12:19:45.382000,"12:19:53,014","12:19:56,641","12:22:17,923",Tarjeta,
12,0yJTHotGOq1JW1pKixZX,viernes,14:38:30.011000,"14:40:35,299","14:41:02,801","14:42:39,432",digital,
432,fonSgiFedD6WWb1b9xw2,viernes,14:38:39.437000,"14:42:44,557","14:43:19,762","14:43:27,159",Tarjeta,
411,e6uLGTDSu1Nr2yfsd4l5,viernes,12:38:26.864000,"12:38:30,629","12:38:45,484","12:39:13,291",efectivo,
412,e99y5QzZ3XuS886f7ded,viernes,14:28:18.159000,"14:28:40,698","14:29:10,636","14:29:40,262",efectivo,
414,eGpG9msqcdn9ZEXoZNQA,viernes,13:20:07.023000,"13:20:20,896","13:20:44,080","13:21:36,280",Tarjeta,
557,srb4kjjy524amBWjqBPd,viernes,13:57:02.302000,"13:57:55,966","13:57:58,488","13:58:21,295",efectivo,La cajera estaba haciendo helados cuando llegaron
528,pwuS99GUG48wnbm2h3dN,viernes,13:45:49.630000,"13:45:55,378","13:46:11,573","13:46:24,029",Tarjeta,
418,emSgHejNTTm9VfrMOQRQ,viernes,13:14:11.994000,"13:14:18,930","13:14:25,285","13:14:28,437",efectivo,
135,DIEwUljKnpxbDRsj5Jkz,viernes,14:36:33.185000,"14:36:56,831","14:37:27,637","14:37:28,849",efectivo,
624,zN5wijK6WcOLNIEhBvjX,viernes,13:54:31.008000,"13:54:35,293","13:54:39,312","13:55:00,648",efectivo,
420,eo3djJyV5AJJXVAhASbM,viernes,14:40:22.994000,"14:44:17,576","14:44:34,648","14:44:46,616",Tarjeta,
625,zlT71l0VMbyQeanjlDaB,viernes,14:25:56.477000,"14:26:05,479","14:26:28,691","14:26:47,483",efectivo,
447,h7FfdqkWu8mD6TNYTitU,viernes,13:51:57.036000,"13:52:09,081","13:52:43,409","13:52:50,985",efectivo,
