,id,diaSemana,consumoInterno,ocuparMesa,liberacionMesa,observacion
0,0vfihfie1FZ3f3BuUIhS,viernes,True,12:55:03.746000,13:16:09.546000,
8,5VjKSu2qeg1S43QEsAtl,viernes,True,12:31:41.953000,12:41:02.501000,
22,JXL13zqqABji9IjfsyLx,viernes,True,12:22:26.328000,13:11:16.834000,
34,W7ERMLCUP7gMmz4hD0ra,viernes,True,13:00:13.030000,13:46:43.807000,
25,OVsKrP8E12IrQHKozEXz,viernes,True,13:04:38.427000,13:29:23.345000,
2,4GDRb2bjJB3QHaHW5SQ6,viernes,True,12:46:26.056000,12:52:36.374000,
47,dcRdOB4y6gwMIvWHM1Gc,sábado,True,12:57:11.475000,13:13:01.028000,
35,Wbzfej9eWICqxzt9Zmst,sábado,True,14:10:33.077000,14:20:51.493000,
28,ReOpGWDNu6yLoOBwpqWX,sábado,True,14:01:48.412000,14:17:47.989000,
65,tq1OCjWHDeeqKJvBUgQC,sábado,True,13:19:59.013000,13:22:17.153000,
30,SoVAPHsgcVdmBUaFoIu4,sábado,True,12:27:44.604000,12:59:37.567000,
64,swP2OxMBclT9pDRT6Z8c,sábado,True,12:50:57.154000,13:07:32.144000,
32,TzTHTVtkirpemJKJVgim,sábado,True,13:14:07.589000,13:37:22.422000,
63,qPVMBUn7dBqi85F9asrc,sábado,True,13:23:39.731000,13:32:18.387000,
51,i478encuIOTQubqX6lKp,sábado,True,12:42:49.212000,13:11:23.076000,
1,3MKKfkWX9FWHpbVQRbDw,sábado,True,12:29:53.485000,13:00:15.404000,
46,cvvH0deHdZnEanrFrMLY,sábado,True,12:07:57.800000,12:40:41.627000,
38,XRWrzOE4kYJj011ca6PC,sábado,True,12:46:14.150000,13:15:32.319000,
27,QziyNi2wCvalA97FR1BX,sábado,True,13:22:49.419000,13:46:56.851000,
60,nRWGInDO3urFZQhl1GGB,sábado,True,13:23:39.258000,13:24:14.340000,
41,aQS99cqCq7tRlXLFEY35,sábado,True,13:24:33.635000,13:32:12.573000,
59,maxZiNVP19O76Zxmao7t,sábado,True,12:09:19.290000,12:22:55.149000,
