id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
0KNVXuPCDAkUaB8ZV9Fi,[],[],[],[],viernes,,"[{'inicio': '14:27:09,739', 'fin': '14:27:40,066'}, {'inicio': '14:27:40,788', 'fin': '14:27:51,234'}]"
0PUBZu6abxga7eqgYlmI,[],[],[],[],domingo,,"[{'inicio': '13:23:46,397', 'fin': '13:24:18,548'}]"
0Yp0BA1puO3Rxr7NMdEy,[],[],[],[],domingo,,"[{'inicio': '13:41:12,604', 'fin': '13:41:26,011'}]"
0eOmEWZGcP7bZlPXZF0h,[],[],[],[],sábado,,"[{'inicio': '13:58:57,860', 'fin': '13:59:21,352'}, {'inicio': '13:59:22,076', 'fin': '13:59:31,251'}]"
0heZFJMic03pxxu3iWln,[],[],"[{'inicio': '13:10:53,426', 'fin': '13:12:45,201'},{'inicio': '13:12:45,201', 'fin': '13:14:45,206'}]",[],domingo,!Fueron dos malteadas ,[]
0jq1jIwh8xWgq1DHInbV,[],[],[],[],sábado,Artesano,"[{'inicio': '13:05:31,907', 'fin': '13:07:36,550'}]"
0nwqhe6yY7cK2p6sdeat,[],[],[],[],domingo,,"[{'inicio': '13:39:00,978', 'fin': '13:39:26,331'}]"
0trDeASDAzOMeNbU9Bpz,[],[],[],[],domingo,,"[{'inicio': '14:16:53,903', 'fin': '14:17:13,678'}, {'inicio': '14:17:16,828', 'fin': '14:17:33,457'}, {'inicio': '14:17:35,679', 'fin': '14:17:55,581'}, {'inicio': '14:17:59,674', 'fin': '14:18:38,404'}]"
15I4GwuU05ghVtlvusMf,[],[],[],[],domingo,Artesano,"[{'inicio': '13:51:39,362', 'fin': '13:55:55,723'}]"
1Fd99IwdWZ5BLgGqhomn,[],[],[],[],domingo,,"[{'inicio': '15:06:28,473', 'fin': '15:07:05,969'}]"
1JUWNYPx5lnoqk0jjkya,[],[],[],[],domingo,,"[{'inicio': '14:26:27,098', 'fin': '14:26:33,521'}, {'inicio': '14:26:34,258', 'fin': '14:27:07,045'}]"
1dh5WAImO55KEczVhBG2,[],[],[],[],viernes,,"[{'inicio': '13:16:31,249', 'fin': '13:16:40,197'}]"
1qY0K75hbG6FPpEjhgc6,[],[],[],[],viernes,,"[{'inicio': '13:40:47,290', 'fin': '13:41:05,219'}]"
1wzk8pkNWWhw5Si4dnAx,[],[],[],[],viernes,,"[{'inicio': '14:59:57,167', 'fin': '15:00:19,766'}]"
21cjyOzzKOT4po55sx26,[],[],"[{'inicio': '13:08:32,661', 'fin': '13:10:20,928'}]",[],domingo,,[]
22CzWC5RS5ollpItVDSw,[],[],[],[],viernes,,"[{'inicio': '13:58:07,413', 'fin': '13:58:52,389'}]"
2CNNGfWm2YS59tlafVMi,[],[],[],[],viernes,,"[{'inicio': '14:09:13,383', 'fin': '14:09:37,563'}]"
2EZLIgBPZbGYWvxWokAe,[],[],[],[],domingo,,"[{'inicio': '14:14:49,658', 'fin': '14:15:11,724'}]"
2LIct61F2iTkk7aPZyPO,[],[],[],[],domingo,Dos pepa pigd ,"[{'inicio': '14:51:56,666', 'fin': '14:52:30,473'}, {'inicio': '14:52:36,165', 'fin': '14:54:00,527'}, {'inicio': '14:54:05,616', 'fin': '14:54:47,916'}]"
2XflNvJLVLjg4mgnmqu1,[],[],[],[],sábado,,"[{'inicio': '13:40:43,069', 'fin': '13:40:58,084'}, {'inicio': '13:41:13,620', 'fin': '13:41:33,601'}]"
2jrC4qQvDvWkJ45GAVca,[],"[{'inicio': '14:21:02,537', 'fin': '14:28:31,195'}]",[],[],viernes,,[]
30kAOZeZ21FsZxLVPFcH,[],[],[],[],sábado,,"[{'inicio': '14:21:30,529', 'fin': '14:21:50,247'}]"
3VPkmMnB7PY90EGrr81o,[],[],[],[],domingo,Artesano,"[{'inicio': '14:51:14,620', 'fin': '14:52:40,092'}]"
3Xx0oFyoeC4d0Aliyk08,[],[],[],[],domingo,,"[{'inicio': '14:50:01,011', 'fin': '14:50:21,139'}, {'inicio': '14:50:21,677', 'fin': '14:51:06,733'}]"
3tYEpEFV2qFo0RFJRoul,[],[],[],[],domingo,,"[{'inicio': '14:29:17,551', 'fin': '14:29:28,117'}]"
3v3PAck68nOdT3tZhDbY,[],[],[],[],domingo,,"[{'inicio': '12:23:41,690', 'fin': '12:23:56,166'}, {'inicio': '12:24:19,818', 'fin': '12:24:41,819'}]"
43mbNrY7E0kyImF7jL6F,[],[],[],"[{'inicio': '13:30:46,189', 'fin': '13:33:04,462'}]",domingo,,"[{'inicio': '13:29:01,408', 'fin': '13:29:43,954'}]"
44SzArQv021ITq5uCY0k,[],[],[],[],domingo,,"[{'inicio': '15:04:24,928', 'fin': '15:04:37,256'}, {'inicio': '15:04:40,089', 'fin': '15:04:56,073'}]"
47H3I6fWtSBroR3SX4PS,"[{'inicio': '13:50:02,777', 'fin': '13:50:49,974'}]",[],[],[],sábado,,[]
4AfSq3vvdWym1eqOzf0i,[],[],[],[],domingo,,"[{'inicio': '14:18:49,326', 'fin': '14:19:05,076'}, {'inicio': '14:19:07,777', 'fin': '14:19:34,135'}]"
4JlRSImFouBLNafIOmcY,[],[],[],[],domingo,,"[{'inicio': '14:09:29,024', 'fin': '14:09:49,445'}, {'inicio': '14:09:55,138', 'fin': '14:10:10,270'}]"
4QAL3HHUZrClDTaWhV6D,[],[],[],[],domingo,,"[{'inicio': '14:09:40,852', 'fin': '14:09:52,667'}, {'inicio': '14:09:53,198', 'fin': '14:10:02,637'}]"
4SBwQqbWYybUpINNdiSX,[],[],[],[],viernes,,"[{'inicio': '15:00:41,781', 'fin': '15:01:10,063'}]"
4SyNSIXwWZPlaxzsUwZm,[],[],"[{'inicio': '12:42:31,342', 'fin': '12:43:05,099'}]",[],domingo,,"[{'inicio': '12:43:10,791', 'fin': '12:43:44,592'}, {'inicio': '12:43:45,667', 'fin': '12:44:00,100'}]"
4lgldcCgzkH28he7rOfF,[],[],[],[],sábado,Artesano,"[{'inicio': '13:00:56,669', 'fin': '13:03:16,472'}]"
4q9uVSI92N20KKtoAGWr,[],[],[],[],domingo,,"[{'inicio': '14:29:35,359', 'fin': '14:29:43,965'}, {'inicio': '14:29:44,458', 'fin': '14:29:51,083'}, {'inicio': '14:29:56,584', 'fin': '14:30:05,706'}]"
50w7nMyQmm3Yh8eDdI2l,[],[],[],[],domingo,Artesano,"[{'inicio': '14:58:40,857', 'fin': '15:00:10,028'}]"
5BxrqKOoufhvaYVRAP6I,"[{'inicio': '13:42:30,988', 'fin': '13:43:36,066'}]",[],[],[],sábado,,[]
5FTCs661LOn8iPRQpOsA,[],[],[],[],domingo,,"[{'inicio': '14:34:22,510', 'fin': '14:34:43,795'}]"
5Qrp9u3JvYQyf1OMmdnN,"[{'inicio': '12:42:26,767', 'fin': '12:43:10,416'}]",[],[],[],domingo,,[]
5gUjAQNlJyFPjQz8Q1It,[],[],[],[],domingo,Artesano,"[{'inicio': '14:42:40,415', 'fin': '14:45:08,145'}]"
64i45Xeek3pwsxDAM2eq,"[{'inicio': '13:30:36,733', 'fin': '13:31:42,774'}]",[],[],[],sábado,,[]
